element_Poison	Poison		Poison	Gift	Veneno	Veneno	毒	どく	Яд
element_Water	Water		Eau	Wasser	Agua	Água	水	みず	Вода
element_Electric	Electric		Électricité	Elektro	Electricidad	Elétrico	电	でんき	Электро
element_Psychic	Psychic		Psychisme	Psycho	Psíquico	Paranormal	超自然	エスパー	Магия
element_Ice	Ice		Glace	Eis	Hielo	Gelo	冰	こおり	Лед
element_Earth	Earth		Terre	Erde	Tierra	Terra	土	つち	Земля
element_Fire	Fire		Feu	Feuer	Fuego	Fogo	火	ほのお	Огонь
									
spirit_Arkeya	Arkeya		Cyclopython	Arkeya	Arkeya	Arkeya	阿基亚	アーケヤ	Аркея
spirit_Karyote	Karyote		Karyote	Karyote	Karyote	Karyote	核生物	カリョーテ	Кариот
spirit_Darkoffee	Darkoffee		Caoua	Dunkaffee	Darkoffee	Darkoffee	黑咖	ダーコーヒー	Мракофе
spirit_Puppox	Puppox		Pantimpie	Puppox	Puppox	Puppox	痘痘木偶	パップポクス	Куклос
spirit_Ribbite	Ribbite		Mordrainette	Quakbiss	Ribbite	Ribbite	呱呱饕餮	リブバイト	Кважба
spirit_Trunkle	Trunkle		Coniféroce	Stämmchen	Trunkle	Trunkle	树墩小宝	トランクル	Мхопень
spirit_Minishroom	Emoshroom		Emorille	Emopilz	Emoshroom	Emoshroom	蓝瘦菇	エモシュルーム	Эмогриб
spirit_Taddle	Taddle		Batracide	Quappi	Taddle	Taddle	蹒跚蛙宝	タドル	Лягувастик
spirit_Fishbo	Fishbo		Bubulle	Goldfisch	Fishbo	Fishbo	菲什博	フィッシュボー	Фишбо
spirit_Flote	Flote		Poiscaille	Treibi	Flote	Flote	浮儿	フロート	Плыба
spirit_Starsee	Starsee		Oculétoile	Sternauge	Starsee	Starsee	多眼星	スターシー	Астроглаз
spirit_Torble	Torble		Caramousse	Schildkröti	Torble	Torble	泡泡龟	トーブル	Торбель
spirit_Snorcko	Snorcko		Tubaxolotl	Schnorchi	Snorcko	Snorcko	潜水灵	シュノアッコ	Сноркус
spirit_Sandcrashle	Sandcrashle		Chatofor	Sandwirbler	Sandcrashle	Sandcrashle	塌陷沙堡	サンドクラッシュル	Песочник
spirit_Beabeau	Beabeau		Balonron	Stranballa	Beabeau	Beabeau	沙滩球球	ビーボウ	Мячо
spirit_Claudio	Claudio		Cyrus	Claudio	Claudio	Claudio	克劳迪奥	クラウディオ	Клаудио
spirit_Burgloon	Burgloon		Raton-voleur	Klaubär	Burgloon	Burgloon	神偷浣熊	バーグルーン	Злеенот
spirit_Cumulo	Cumulo		Cumulo	Kumulo	Cumulo	Cumulo	绵绵云	キューミュロ	Кумулон
spirit_Capacibee	Capacibee		Voltabeille	Elektribiene	Capacibee	Capacibee	电容蜂	キャパシビー	Пчеловольт
spirit_Armbot	Armbot		Membroïde	Blechmann	Armbot	Armbot	长臂机器人	アームボット	Хватобот
spirit_Posho	Posho		Angélixir	Feschi	Posho	Posho	时髦药灵	ポショー	Эликсирчик
spirit_Taro	Taro		Trottignon	Flinki	Taro	Taro	塔罗	タロ	Таро
spirit_Lookachoo	Lookachoo		Fantomouchoir	Hapütschii	Lookachoo	Lookachoo	卢阿嚏	ルックアチョー	Привидень
spirit_Minoot	Minoot		Hiboustache	Mini	Minoot	Minoot	时钟猫头鹰	ミヌート	Совиус
spirit_Rablit	Rablit		Lampin	Meister Lampe	Rablit	Rablit	兔兔灯	ラブリット	Раблит
spirit_Sorbaton	Sorbaton		Sorbâton	Sorbi	Sorbaton	Sorbaton	冰糕棍	ソルバトン	Шербетон
spirit_Bonguin	Bonguin		Bongouin	Penguin	Bonguin	Bonguin	企鹅子	ボングイン	Бонгвин
spirit_Mumbleweed	Mumbleweed		Branchonchon	Murmelkraut	Mumbleweed	Mumbleweed	咕哝草	マンブルウィード	Клубовей
spirit_Oaken	Oaken		Chênapan	Eichhorst	Oaken	Oaken	橡木灵	オークン	Дуббин
spirit_Ankylo	Ankylo		Ankylo	Ankylo	Ankylo	Ankylo	甲龙	アンキロ	Анкило
spirit_Gemlin	Gemlin		Gemmelin	Gemlin	Gemlin	Gemlin	宝石小灵	ジェムリン	Гемлин
spirit_Hopstraw	Hopstraw		Épouvanpaille	Strohli	Hopstraw	Hopstraw	闪退稻草人	ホップストロー	Прыгало
spirit_Flambit	Flambit		Flamignon	Flammbi	Flambit	Flambit	火焰狂棋	フレイムビット	Фламбит
spirit_Prikli	Prikli		Kipik	Piksi	Prikli	Prikli	刺刺	プリクリ	Колкус
spirit_Sheemp	Sheemp		Diabloton	Schaap	Sheemp	Sheemp	羊辛普	シーンプ	Жарашек
spirit_Lucerna	Lucerna		Lucerna	Luzerna	Lucerna	Lucerna	卢塞恩旧灯	ルーチェルナ	Лучинна
spirit_Sinjin	Sinjin		Cobrasier	Sinjin	Sinjin	Sinjin	恶灵	シンジン	Синжин
spirit_Firetyre	Carkey		Carbolide	Fahrschlüssli	Carkey	Carkey	车钥机关	カーキー	Врумврум
spirit_Longlog	Longlog		Trondin	Langholz	Longlog	Longlog	大个子	ロングログ	Бревняш
spirit_Coolslime	Coolslime		Gelax	Cooler Schleim	Slime Cool	Coolslime	冷冷泥	クールスライム	Крутослизень
spirit_Pappus	Pappus		Pappus	Pappus	Pappus	Pappus	冠毛	パップス	Сдуванчик
spirit_Brickhouse	Brickhouse		Kahute	Mucki	Brickhouse	Brickhouse	壮硕灵	ブリックハウス	Доммин
spirit_Dusty	Dusty		Fourminus	Staubi	Dusty	Dusty	灰扑扑	ダスティ	Крепыль
spirit_Punchypot	Punchypot		Pot-gnons	Boxtopf	Punchypot	Punchypot	拳力盆	パンチポット	Колотук
spirit_Fluffox	Fluffox		Renardoux	Flauschifuchs	Fluffox	Fluffox	茸茸狐	フラフフォックス	Пушлис
spirit_Mystislime	Mystislime		Mystigelée	Mystischleim	Slime Místico	Mystislime	神秘黏液	ミスティスライム	Мистислизень
spirit_Magicat	Magicat		Magichat	Magimiau	Magicat	Magicat	魔术猫	マジキャット	Чарокотик
spirit_Beardini	Beardini		Barbini	Barti	Beardini	Beardini	胡蒂尼	ベアディーニ	Бородини
UNUSED spirit_Octopups	Octopups		Octochien	Oktowuffs	Octopups	Octopups	章鱼狗	オクトパップ	Пёсминог
spirit_Flamane	Flamane		Déflagralion	Löwi	Flamane	Flamane	火焰鬃毛	フレイムメイン	Фламанн
spirit_Bandicle	Bandicle		Glaçalo	Bandizapfen	Bandicle	Bandicle	冰棍大盗	バンディクル	Эскимон
spirit_Evileye	Evileye		Maléfiris	Bösauge	Evileye	Evileye	邪眼	イビルアイ	Сумроко
spirit_Wolfbane	Wolfbane		Canidémon	Wolfsbann	Wolfbane	Wolfbane	灵厄狼	ウルフベイン	Волктень
spirit_Birdbrain	Birdbrain		Aristoizo	Vogelhirn	Birdbrain	Birdbrain	笨笨	バードブレイン	Птицум
spirit_Marsha	Marsha		Tourbécorce	Sumpfi	Marsha	Marsha	玛莎地	マーシャ	Марша
spirit_Radlad	Radlad		Camaradis	Radi	Radlad	Radlad	棒拉德	ラッドラド	Редисон
spirit_Loonylid	Loonylid		Chapodingo	Verrückti	Loonylid	Loonylid	疯帽子	ルーニーリド	Шляп
spirit_Bulbot	Bulbot		Filamandroïde	Glühlampi	Bulbot	Bulbot	灯泡机器人	ブルボット	Бульбот
spirit_Dropple	Dropple		Perlebleu	Tröpfchen	Dropple	Dropple	滴滴	ドロップル	Булькап
spirit_Octopup	Octopup		Octochien	Oktowuff	Octopup	Octopup	八爪修狗	オクトパップ	Пёсьминог
spirit_Sparky	Sparky		Étincelle	Funkelnd	Sparky	Sparky	火花	スパーキー	Искрик
spirit_Missingno	Missingno		Missingno	Missingno	Missingno	Missingno	异形宝可梦	ケツバン	Миссингно
spirit_Snapdragon	Snapdragon		Gueule-de-loup	Löwenmäulchen	Snapdragon	Snapdragon	龙嘴花	スナップドラゴン	Ядоящер
spirit_Sparking	Sparking		Wattyran	Funkenmarie	Sparking	Sparking	火花之王	スパーキング	Громовой
spirit_Womr	Womr		Vergala	Wumr	Womr	Womr	虫虫	イムシモ	Чевряк
spirit_Catsket	Catsket		Nécrominet	Katzensarg	Catsket	Catsket	猫棺	キャットスケット	Гробокот
spirit_Bonefire	Bonefire		Carbononosse	Bannfeuer	Bonefire	Bonefire	骨火	ボーンファイア	Кострищ
spirit_Snaplant	Snaplant		Dionéfaste	Schnapper	Snaplant	Snaplant	迅猛植	スナップラント	Захлопок
spirit_Hygge	Hygge		Ocho	Hygge	Hygge	Hygge	舒适暖衣	ヒュッゲ	Хигги
spirit_Whistler	Whistler		Alpingouin	Whistler	Whistler	Whistler	惠斯勒雪场	ウィスラー	Альпингвин
spirit_Yeeti	Yeeti		Yétitan	Yeeti	Yeeti	Yeeti	大雪头	イエーティ	Снежить
spirit_Honkshoo	Honkshoo		Ronflocon	Schnarchi	Honkshoo	Honkshoo	呼噜	グーグー	Сплюш
spirit_Eyesee	Eyesee		Cornélius	Eisblick	Eyesee	Eyesee	冰睛凌	アイシー	Айсик
spirit_Toxitoe	Toxitoe		Piékipu	Toxistrumpf	Toxitoe	Toximeia	毒袜	トキシトゥ	Токсинос
spirit_Barkbyte	Barkbyte		Robocabot	Bellobyte	Barkbyte	Dogbyte	字节犬	バークバイト	Байттерьер
spirit_Kiwiwatt	Kiwiwatt		Kiwiwatt	Kiwiwatt	Kiwiwatt	Kiwiwatt	几维电鸟	キウイワット	Кививатт
spirit_Breadmaus	Breadmaus		Ratartine	Brotmaus	Breadmaus	Baguetemaus	面包鼠	ブレッドマウス	Тостермаус
spirit_Snohm	Snohm		Rampère	Schlohm	Snohm	Cobrohm	电蛇	スオーム	Сномм
spirit_Spyreling	Spyreling		Spyrolin	Feuerturmling	Spyreling	Spyreling	火塔幽灵	スパイアリング	Спирлинг
									
// BOSSES									
spirit_Wildwood	Wildwood		Manitouffu	Wildholz	Wildwood	Wildwood	荒木灵	ワイルドウィード	Сверхдуб
spirit_Guardian	Guardian		Gardien	Wächter	Guardian	Guardian	守护者	ガーディアン	Страж
spirit_Tidan	Tidan		Aquaduc	Tidan	Tidan	Tidan	怒潮泰坦	タイダン	Волнорёв
									
spirit_InfinidungeonMiniboss	◰◱◲◱◰◱								
spirit_InfinidungeonBoss	◰◲◱◰◲◰◱◲								
									
spirit_Chiminea	Chiminea		Bellâtre	Öfchenmauli	Chiminea	Chamichá	炽焰炉灵	チミニー	Печина
spirit_Shrubbin	Shrubbin		Tibuisson	Büschelli	Shrubbin	Arbustin	灌木宝箱	シュラッビン	Зарослик
spirit_Pombomb	Pombomb		Canidétoile	Spitzbomber	Pombomb	Pomebomba	嘭美犬	ポムボム	Бумдог
spirit_Darclock	Darclock		Malheure	Düstertock	Darclock	Relúgubre	幽冥时钟	ダークロック	Злоклок
spirit_Fangface	Fangface		Croc-croc	Zähnefratze	Fangface	Caninudo	锐齿魔	ファングフェイス	Клыклик
spirit_Grampus	Grampus		Glachalot	Opifisch	Grampus	Gelaleia	逆戟鲸	グランパス	Китус
spirit_Eleplant	Eleplant		Éléplante	Elepflanz	Eleplant	Aquafante	灌木象	エレプラント	Слончик
spirit_Jelbell	Jelbell		Psychozoa	Qualli	Jelbell	Psidusa	果冻铃	ジェルベル	Железвон
spirit_Shadeling	Shadeling		Ombrelin	Schattenling	Shadeling	Sombrito	暗影灵	シェードリング	Барабаш
spirit_Bungo	Bungo		Bungo	Bungo	Bungo	Bungo	邦戈	ブンゴ	Банго
spirit_Glovem	Glovem		Gantial	Handschühlein	Glovem	Goluva	暖手套	グローブン	Холодыш
spirit_Bittybolt	Bittybolt		Électigre	Miniblitz	Bittybolt	Tigraio	霹雳贝蒂	ビティボルト	Тококус
spirit_Hoppot	Hoppot		Marmiton	Hüpftopf	Hoppot	Quicapanela	跳跳锅	ホップポット	Прыгуляш
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
